ENTRY_NAME,Overall Quality,Spring Green Up,Summer Patch,Genetic Color,Uniformity,Texture,Density
DLFPS-340/3549,-0.22554717126865200,0.06278954678355,-0.3087222962857,0.25906831054556700,-0.7523790433666670,-0.19474422528131700,-0.26833069088255
KH3492,-0.23793752178633300,0.08322215859678670,-0.14848142115795000,0.2890047958511670,-0.23396915626916700,0.13713180389813300,-0.0298456552634
Selway,-0.2450887444599,-0.12818816567333300,0.14543648392378300,-0.11822934466716700,-0.28620611945933300,0.07213081477801670,-0.09332831073901670
A16-17,-0.24708971955006700,0.33647573784083300,-0.13700454519616700,0.6198305395716670,1.3556344275,0.4466370275281670,-0.018630464870978300
NAI-15-80,-0.25288859837998300,0.020970579170700000,-0.2902930887485,-0.7423671695266670,-0.54403414606,-0.021127560369633300,-0.5786789167478330
BAR PP 79494,-0.2631903104828330,-0.5133390350579330,-0.14302047827616700,-0.043108899221833300,0.002218309305615,0.4177496797675,0.5310420093568330
DLFPS-340/3553,-0.268902311086,0.06029588054565,-0.1726511558145,0.3044795706776670,0.6693312026,0.301610417723,-0.3185923613388670
A16-1,-0.28425110101033300,-0.47574653868933300,-0.18359248575351700,-0.23176659854238200,-1.3806352725166700,-0.5647028279435,-0.3390603496906670
RAD 553,-0.31075451771533300,-0.57953683360065,-0.03927439680173330,-0.249457568739,-0.6889666739166670,0.09062900019213330,-0.19883709824686700
DLFPS-340/3455,-0.32283964709816700,0.21979897075553300,0.044727976848616700,0.09902290421004170,-0.47987137418333300,-0.034847153770518300,-0.049756007475850000
NK-1,-0.33176538031766700,-0.3280665374185,-0.4245109933666670,0.107826207949,-0.10686421655141700,0.13925602025902800,-0.45807403063400000
Shamrock,-0.333450746986,-0.5380200581923330,-0.19095014526598300,-0.5154678754683330,-1.1960237941666700,-0.162491530214,-0.19961873199831700
A16-7,-0.3438598373523330,-0.15707729377533300,-0.3260994234133330,-0.3330001435696670,-0.4377504971933330,0.06788475056292500,-0.17973945678716700
Blue Devil,-0.3470884251046670,0.10604337823633300,-0.06953305793466670,-0.1238717156506,-0.021084777534483300,0.0868778836136,0.3238688980028330
United (NAI-13-14),-0.35051927888468300,-0.27228553119701700,0.09094352322035330,-0.020470884066483300,0.13356593884911700,0.18615997011546700,0.6675432407
BAR PP 7236V,-0.3740182385675,0.8893540385000000,-0.13169496306658300,0.29603116122513300,0.5202946811433330,0.3376134366036170,0.5027217940011670
Barvette HGT®,-0.37965910743416700,0.6918628353671670,-0.20873257424243300,0.3351354918005670,0.5170700337300000,0.409084517764,0.9569789933333330
Twilight (NAI-13-132),-0.3862971417157,-0.087688870986,-0.0288571038916,-0.4314452688839830,-0.01689068174165,-0.059043503826583300,0.18466622235448300
BAR PP 7K426,-0.39416512438616700,0.6233188738388,-0.17725911110051700,0.24104184211461700,0.06723993783866330,0.5221894068950000,0.16870569304908300
Blue Gem (NAI-13-9),-0.40053473085433300,0.029649401222766700,0.025099144636616700,-0.0579004047333,0.42165596616,0.19987706004638300,0.7936949520666670
PST-K15-167,-0.4015374000083330,-0.9361781574865,-0.32399064522683300,-0.6151127725311670,-0.5386033576933330,-0.15985779758820000,0.089923908473
A12-34,-0.41234143829483300,-0.013634454664981700,0.17491527759216700,0.01200651896445,-0.17322404121398700,0.125796745364,-0.2758340220342170
DLFPS-340/3444,-0.4242285804738330,-0.6729962955085420,-0.200075419029,-0.29330579590830000,-1.2344520092333300,-0.008215569002,0.035141923149035
BAR PP 7309V,-0.46602338189416700,0.4905383373148330,-0.23152125755905,-0.0008782855277000000,-0.36134806025983300,0.14412644854995,0.030129883577766700
PPG-KB 1131,-0.4966592918216670,0.12686859155345,0.20586701933703300,-0.05331228147883330,0.18479759432708300,0.2736286264785,0.43690980586966700
Blue Knight,-0.5982183438,-1.395883048,-0.2845965082496830,-1.0837662411833300,-1.5054306325,-0.16453009054865,-1.172004432
BAR PP 71213,-0.6771836903333330,0.9523023598785,-0.48416093383333300,-0.12856817166505500,-0.05191659264001670,0.28259389752391700,-0.0021250044815833300
DLFPS-340/3364,-0.8794394795,-1.1311119055216700,-0.5200789425333330,-0.5649223993666670,-0.7326889140233330,0.20877011004463300,-0.12759911455836700
Kenblue,-1.3238511238,-0.8841218252166670,-0.44893595513333300,-0.46984509549670000,-1.302598127,-0.35372109156233300,-0.58457726534
